object_id,accession_number,title,object_name,department,publication_status,production_start_date,production_end_date
OBJ-0001,1961.1.2-1,Still Life with Fruit and Flowers,Manuscript,Photography,private,1730-01-01,1752-01-01
OBJ-0002,1962.1.3-2,Portrait of Fruit and Flowers,Textile,Ancient Art,internal,1871-01-01,1872-01-01
OBJ-0003,1963.1.4-3,Still Life with Autumn Fields,Necklace,Textiles,public,not-a-date,1730-01-01
OBJ-0004,1964.1.5-4,Still Life with an Unknown Man,Necklace,European Paintings,internal,1657-01-01,1680-01-01
OBJ-0005,1965.1.6-5,Composition in a Reclining Figure,Vase,European Paintings,private,1726-01-01,1750-01-01
OBJ-0006,1966.1.7-6,Head of Fruit and Flowers,Manuscript,Asian Art,public,1652-01-01,1688-01-01
OBJ-0007,1967.1.8-7,Head of an Unknown Man,Textile,Textiles,internal,1606-01-01,1619-01-01
OBJ-0008,1968.1.9-8,Landscape near Two Dancers,Textile,European Paintings,internal,1743-01-01,1754-01-01
OBJ-0009,1969.1.10-9,Landscape near the Old Bridge,Photograph,Asian Art,public,1681-01-01,1685-01-01
OBJ-0010,1970.2.1-10,Study for a Seated Musician,Drawing,Decorative Arts,public,1827-01-01,1835-01-01
OBJ-0011,1971.2.2-11,Composition in Two Dancers,Coin,Asian Art,public,1600-01-01,1600-01-01
OBJ-0012,1972.2.3-12,Landscape near the Harbor,Coin,Textiles,public,1710-01-01,1720-01-01
OBJ-0013,1973.2.4-13,Landscape near a Young Woman,Necklace,Asian Art,public,1748-01-01,1768-01-01
OBJ-0014,1974.2.5-14,Study for an Unknown Man,Painting,Decorative Arts,public,1876-01-01,1916-01-01
OBJ-0015,1975.2.6-15,Figure of a Young Woman,Photograph,Ancient Art,internal,1693-01-01,1705-01-01
OBJ-0016,1976.2.7-16,View of a Young Woman,Coin,Asian Art,internal,1752-01-01,1753-01-01
OBJ-0017,1977.2.8-17,Composition in the Harbor,Vase,Photography,public,1812-01-01,1822-01-01
OBJ-0018,1978.2.9-18,Figure of a Seated Musician,Necklace,Asian Art,internal,1735-01-01,1739-01-01
OBJ-0019,1979.2.10-19,Head of Fruit and Flowers,Photograph,Asian Art,private,1754-01-01,1792-01-01
OBJ-0020,1980.3.1-20,Portrait of the Harbor,Sculpture,European Paintings,private,1601-01-01,1639-01-01
OBJ-0021,1981.3.2-21,Figure of Fruit and Flowers,Mask,Photography,internal,1773-01-01,1777-01-01
